Team,Name,W,D,L
HullCity,"Ramster, James",0,0,0
HullCity,"Langley, Ambrose",143,67,108
HullCity,"Chapman, Harry",20,10,15
HullCity,"Stringer, Fred",22,6,15
HullCity,"Menzies, David",31,27,32
HullCity,"Lewis, Percy",27,18,26
HullCity,"McCracken, Billy",134,104,137
HullCity,"Green, Haydn",61,24,38
HullCity,"Hill, Jack",24,15,38
HullCity,"Menzies, David",5,8,11
HullCity,"Blackburn, Ernest",50,31,36
HullCity,"Buckley, Frank",33,19,28
HullCity,"Carter, Raich",74,41,42
HullCity,"Jackson, Bob",42,26,55
HullCity,"Brocklebank, Bob",113,71,118
HullCity,"Britton, Cliff",170,101,135
HullCity,"Neill, Terry",61,55,58
HullCity,"Kaye, John",40,40,46
HullCity,"Collins, Bobby",4,7,8
HullCity,"McGuinness, Wilf",1,4,5
HullCity,"Houghton, Ken",23,22,27
HullCity,"Smith, Mike",30,37,50
HullCity,"Brown, Bobby",10,4,5
HullCity,"Appleton, Colin",47,29,15
HullCity,"Horton, Brian",77,58,60
HullCity,"Gray, Eddie",13,14,24
HullCity,"Appleton, Colin",1,8,7
HullCity,"Ternent, Stan",19,15,28
HullCity,"Dolan, Terry",99,96,127
HullCity,"Hateley, Mark",17,14,45
HullCity,"Joyce, Warren",33,25,28
HullCity,"Russell, Billy",0,0,2
HullCity,"Little , Brian",41,28,28
HullCity,"Russell, Billy",1,1,5
HullCity,"MÌülby, Jan",2,8,7
HullCity,"Russell, Billy",1,0,0
HullCity,"Taylor, Peter",77,50,57
HullCity,"Parkinson, Phil",5,6,13
HullCity,"Brown, Phil",52,40,65
HullCity,"Dowie, Iain",1,3,5
HullCity,"Pearson, Nigel",23,20,21
HullCity,"Barmby, Nick",13,8,12
HullCity,"Bruce, Steve",73,37,68
