Name,From,To,P,W,D,L,GF,GA
"[u'Hopkinson Frederick', u'Frederick Hopkinson']",1880,1882,–,–,–,–,–,–
Unknown,1882,1884,–,–,–,–,–,–
"[u'Kitchen Edward', u'Edward Kitchen']",1884,1887,–,–,–,–,–,–
"[u'Chew Walter', u'Walter Chew']",1887,1889,–,–,–,–,–,–
"[u'Furniss, Lawrence', u'Lawrence Furniss']",August 1889,May 1893,26,10,4,12,59,46
"[u'Parlby, Joshua', u'Joshua Parlby']",August 1893,May 1895,59,22,5,32,129,146
"[u'Omerod, Sam', u'Sam Omerod']",August 1895,July 1902,240,111,50,79,433,354
"[u'Maley, Tom', u'Tom Maley']",July 1902,July 1906,150,89,22,39,322,179
"[u'Newbould, Harry', u'Harry Newbould']",July 1906,July 1912,245,93,61,91,390,376
Committee,July 1912,September 1912,2,2,0,0,2,0
"[u'Mangnall, Ernest', u'Ernest Mangnall']",9 September 1912,June 1924,350,151,117,82,500,457
"[u'Ashworth, David', u'David Ashworth']",July 1924,14 November 1925,59,20,13,26,113,121
"[u'Alexander, Albert', u'Albert Alexander', u' / Committee']",16 November 1925,26 April 1926,31,13,8,10,80,56
"[u'Hodge, Peter', u'Peter Hodge']",26 April 1926,12 March 1932,261,122,59,80,579,447
"[u'Wild, Wilf', u'Wilf Wild']",14 March 1932,1 December 1946,352,158,71,123,703,562
"[u'Cowan, Sam', u'Sam Cowan']",2 December 1946,30 June 1947,30,20,6,4,53,27
"[u'Wild, Wilf', u'Wilf Wild']",August 1947,November 1947,16,5,5,6,20,18
"[u'Thomson, Jock', u'Jock Thomson']",November 1947,February 1950,115,35,35,45,122,156
"[u'McDowall, Les', u'Les McDowall']",June 1950,May 1963,592,220,127,245,"1,049","1,134"
"[u'Poyser, George', u'George Poyser']",12 July 1963,April 1965,89,38,17,34,159,137
Committee,April 1965,May 1965,5,1,3,1,4,5
"[u'Mercer, Joe', u'Joe Mercer']",13 July 1965,7 October 1971,340,149,94,97,518,358
"[u'Allison, Malcolm', u'Malcolm Allison']",7 October 1971,30 March 1973,78,32,21,25,119,106
"[u'Hart, Johnny', u'Johnny Hart']",30 March 1973,22 October 1973,22,11,5,6,26,22
"[u'Book, Tony', u'Tony Book']",23 October 1973,22 November 1973,7,2,3,2,7,3
"[u'Saunders, Ron', u'Ron Saunders']",22 November 1973,12 April 1974,29,10,9,10,38,33
"[u'Book, Tony', u'Tony Book']",12 April 1974,July 1979,269,114,75,80,405,309
"[u'Allison, Malcolm', u'Malcolm Allison']",16 July 1979,8 October 1980,60,15,20,25,63,95
"[u'Book, Tony', u'Tony Book']",9 October 1980,16 October 1980,1,0,0,1,1,3
"[u'Bond, John', u'John Bond']",17 October 1980,3 February 1983,123,51,32,40,171,152
"[u'Benson, John', u'John Benson']",3 February 1983,7 June 1983,17,3,2,12,13,32
"[u'McNeill, Billy', u'Billy McNeill']",30 June 1983,20 September 1986,156,63,42,51,223,183
"[u'Frizzell, Jimmy', u'Jimmy Frizzell']",21 September 1986,May 1987,42,10,12,20,40,61
"[u'Machin, Mel', u'Mel Machin']",May 1987,29 November 1989,130,59,27,44,225,179
"[u'Book, Tony', u'Tony Book']",29 November 1989,5 December 1989,3,0,0,3,4,9
"[u'Kendall, Howard', u'Howard Kendall']",6 December 1989,5 November 1990,38,13,18,7,46,37
"[u'Reid, Peter', u'Peter Reid']",11 November 1990,26 August 1993,136,59,31,46,199,166
"[u'Book, Tony', u'Tony Book']",27 August 1993,27 August 1993,1,0,1,0,1,1
"[u'Horton, Brian', u'Brian Horton']",28 August 1993,16 May 1995,96,29,33,34,118,130
"[u'Ball, Alan', u'Alan Ball']",30 June 1995,26 August 1996,49,13,14,22,49,70
"[u'Hartford, Asa', u'Asa Hartford']",26 August 1996,7 October 1996,8,3,0,5,8,13
"[u'Coppell, Steve', u'Steve Coppell']",7 October 1996,8 November 1996,6,2,1,3,7,10
"[u'Neal, Phil', u'Phil Neal']",9 November 1996,28 December 1996,10,2,1,7,11,19
"[u'Clark, Frank', u'Frank Clark']",29 December 1996,17 February 1998,59,20,17,22,73,60
"[u'Royle, Joe', u'Joe Royle']",18 February 1998,21 May 2001,171,74,46,51,261,192
"[u'Keegan, Kevin', u'Kevin Keegan']",24 May 2001,11 March 2005,176,77,39,60,299,223
"[u'Pearce, Stuart', u'Stuart Pearce']",21 March 2005,"[u'14 May 2007', u'[', u'22', u']']",96,34,19,43,103,111
"[u'Eriksson, Sven-G\xf6ran', u'Sven-G\xf6ran Eriksson']","[u'6 July 2007', u'[', u'23', u']']","[u'2 June 2008', u'[', u'24', u']']",45,19,11,15,51,58
"[u'Hughes, Mark', u'Mark Hughes']","[u'4 June 2008', u'[', u'25', u']']","[u'19 December 2009', u'[', u'26', u']']",77,36,15,26,129,101
"[u'Mancini, Roberto', u'Roberto Mancini']","[u'19 December 2009', u'[', u'26', u']']",13 May 2013,191,113,38,40,360,173
"[u'Kidd, Brian', u'Brian Kidd']",13 May 2013,14 June 2013,2,1,0,1,4,3
"[u'Pellegrini, Manuel', u'Manuel Pellegrini']",14 June 2013,Present,135,86,18,31,320,143
