From,To,P,W,D,L
17 December 2015,Present,1.0,1.0,0.0,0.0
4 December 2015,17 December 2015,2.0,0.0,0.0,2.0
16 December 2014,4 December 2015,53.0,19.0,14.0,20.0
26 March 2013,15 December 2014,80.0,29.0,20.0,31.0
11 March 2013,26 March 2013,1.0,0.0,0.0,1.0
16 December 2009,11 March 2013,152.0,70.0,41.0,41.0
4 June 2009,16 December 2009,23.0,6.0,6.0,11.0
9 October 2003,12 May 2009,282.0,126.0,66.0,90.0
10 September 2003,9 October 2003,7.0,2.0,1.0,4.0
16 September 1999,9 September 2003,216.0,104.0,52.0,60.0
25 March 1998,16 September 1999,68.0,20.0,18.0,30.0
18 March 1998,25 March 1998,1.0,0.0,0.0,1.0
30 June 1997,18 March 1998,50.0,15.0,14.0,21.0
5 January 1995,9 May 1997,127.0,46.0,34.0,47.0
15 December 1994,4 January 1995,5.0,2.0,2.0,1.0
10 May 1991,14 December 1994,135.0,53.0,41.0,41.0
30 April 1991,10 May 1991,2.0,0.0,0.0,2.0
1 April 1991,30 April 1991,7.0,1.0,1.0,5.0
14 November 1989,1 April 1991,,,,
23 October 1989,14 November 1989,,,,
31 January 1984,23 October 1989,,,,
26 February 1977,31 January 1984,,,,
13 January 1972,26 February 1977,,,,
1 October 1971,13 January 1972,,,,
1 April 1969,1 October 1971,,,,
1 February 1969,1 April 1969,,,,
1 January 1963,1 February 1969,,,,
1 November 1955,1 January 1963,,,,
1 October 1955,1 November 1955,,,,
1 June 1952,1 October 1955,,,,
1 June 1947,1 June 1952,,,,
13 April 1939,1 June 1947,,,,
1 March 1939,13 April 1939,,,,
1 August 1935,1 March 1939,,,,
1 June 1931,1 August 1935,,,,
1 July 1926,1 June 1931,,,,
1 October 1925,1 June 1926,,,,
1 January 1923,1 October 1925,,,,
11 May 1922,1 January 1923,,,,
23 December 1920,11 May 1922,,,,
23 February 1920,23 December 1920,,,,
